,Number,Locus,PPEE,PPDE,PostFC,RealFC,D1,D2,D3,L1,L2,L3,New Locus,Gene,Product,ProteinID,Start,End,Chrom,Relation
10,11,gene-ACX60_RS00055_erpA,0.958143899889713,0.0418561001102874,-1.06671236538868,-1.06678896021124,532.283970119082,232.301360617309,605.547934302062,440.995277600359,538.080705974774,482.569061254879,A1S_0011,erpA,iron-sulfur cluster insertion protein ErpA,WP_000993572.1,13602,13937,NZ_CP012004.1,Shared
11,12,gene-ACX60_RS00060_ACX60_RS00060,0.739710452632042,0.260289547367958,-1.43382994435847,-1.43624186822486,124.126577394025,52.1188950102938,106.682102519659,165.671198882297,123.629046230528,117.065270924364,A1S_0012,(),alpha/beta hydrolase,WP_000366384.1,13993,14838,NZ_CP012004.1,Shared
12,13,gene-ACX60_RS00065_ACX60_RS00065,0.957754521611553,0.042245478388447,1.0836937001649942,1.0837606620923497,652.029609487435,778.80520258239,700.03779653376,724.662510218968,652.290396302023,589.228530319299,A1S_0013,(),anhydro-N-acetylmuramic acid kinase,WP_001274576.1,14966,16093,NZ_CP012004.1,Shared
13,14,gene-ACX60_RS00070_tyrS,0.971339854536306,0.0286601454636942,-1.15597260007558,-1.15604425475713,1005.4252768916,1508.4697327265,910.353941501086,1048.85363321166,1043.19366628807,1866.54070862736,A1S_0014,tyrS,tyrosine--tRNA ligase,WP_000335558.1,16155,17387,NZ_CP012004.1,Shared
14,15,gene-ACX60_RS00075_ACX60_RS00075,0.872935593471197,0.127064406528803,3.0695433103726693,3.0737710177258966,1333.14134590195,70.8593605447094,963.014259344838,123.359489815236,469.790375676006,176.898631619039,,,,,,,,Shared
15,16,gene-ACX60_RS00080_ACX60_RS00080,0.99999999999999,9.6505290025393e-15,1.078954442786474,5.219148643690451,0.0,0.126574459310713,0.0,0.0,0.0,0.0,,,,,,,,Shared
16,17,gene-ACX60_RS00085_ACX60_RS00085,0.99999999999999,9.6505290025393e-15,1.078954442786474,5.219148643690451,0.0,0.126574459310713,0.0,0.0,0.0,0.0,,,,,,,,WT only
17,18,gene-ACX60_RS00090_ACX60_RS00090,3.96503063559983e-06,0.999996034969364,2.629993904982122,2.630587311418439,3680.11206814141,4559.53218329839,3127.48235726607,975.755686251583,1917.8161844921,1427.545942661,,,,,,,,Shared
18,19,gene-ACX60_RS00095_rrf,1.0,1.21306845216849e-16,1.1298371774576104,1.2205710077185248,1.21936108381189,0.990259005195581,0.508010011998374,0.393320112454374,1.17741948790979,0.650362616246467,,,,,,,,Shared
19,20,gene-ACX60_RS00100_ACX60_RS00100,0.606530919524551,0.393469080475449,-1.44909479034673,-1.44993039622708,321.26878854924,220.388470329242,303.789987175028,514.891783576635,427.403274111254,283.55810068346,A1S_3460,(),glutathione S-transferase family protein,WP_000587876.1,23775,24374,NZ_CP012004.1,Shared
20,21,gene-ACX60_RS00105_ACX60_RS00105,0.216337504564426,0.783662495435574,1.4016350355454272,1.4019565135518615,932.409643130408,782.527980797411,1040.40450457267,576.869498266415,602.838777809812,785.638040425733,A1S_3459,(),TIGR04219 family outer membrane beta-barrel protein,WP_000698062.1,24432,25124,NZ_CP012004.1,Shared
21,22,gene-ACX60_RS00110_ACX60_RS00110,0.981577993378022,0.0184220066219777,-1.17174825476918,-1.17177427477173,3751.54326264999,3097.35147489746,3534.73366348469,5774.6543783074,5195.9522001459,1196.6672138935,A1S_3458,(),sodium-dependent transporter,WP_000132725.1,25753,27231,NZ_CP012004.1,Shared
22,23,gene-ACX60_RS00115_ACX60_RS00115,0.841063873187626,0.158936126812374,1.457501767132793,1.4673571761001054,22.6348464659692,58.0753401543273,26.4165206239155,15.494428672445,47.0967795163916,10.4058018599435,A1S_3914,(),methionine/alanine import family NSS transporter small subunit,WP_001097630.1,27244,27387,NZ_CP012004.1,Shared
23,24,gene-ACX60_RS00120_rsmB,0.948195219920993,0.0518047800790067,-1.23621297097707,-1.23647596575618,405.236767374609,605.323737762412,402.343929502712,420.733332413315,488.629087482563,837.66704972545,A1S_3457,rsmB,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,WP_001077672.1,27431,28735,NZ_CP012004.1,Shared
24,25,gene-ACX60_RS00125_fmt,0.937208878806902,0.0627911211930983,-1.21993843260597,-1.22018873995816,391.363796959983,595.644514403357,395.231789334735,439.803398471709,552.209739829691,694.587274151227,A1S_3456,fmt,methionyl-tRNA formyltransferase,WP_000691200.1,28732,29694,NZ_CP012004.1,Shared
25,26,gene-ACX60_RS00130_ilvD,0.972972937316536,0.0270270626834641,-1.06744965231692,-1.06747072947183,1731.93083281545,1724.39086919772,1577.87909726695,1592.35051587589,1773.19374879214,2008.31975896909,A1S_3455,ilvD,dihydroxy-acid dehydratase,WP_001113592.1,30043,31872,NZ_CP012004.1,Shared
26,27,gene-ACX60_RS00135_ACX60_RS00135,0.770396700261486,0.229603299738514,1.1484170714688948,1.1485614386710945,576.093350375796,673.822856918798,607.579974350055,520.851179219883,498.048443385841,598.33360694675,A1S_3454,(),hypothetical protein,WP_000055250.1,32186,33475,NZ_CP012004.1,Shared
27,28,gene-ACX60_RS00140_ACX60_RS00140,1.0,1.8364176038582502e-17,-1.11590948530923,-1.11711787886601,50.3807872952217,47.6515611522686,52.8330412478309,61.9777146897802,50.629037980121,55.9311849971962,A1S_3453,(),sulfite exporter TauE/SafE family protein,WP_000143320.1,33554,34285,NZ_CP012004.1,Shared
28,29,gene-ACX60_RS00145_ACX60_RS00145,0.938630416456301,0.0613695835436986,-1.15683886768469,-1.15764171079802,93.4600112143243,110.194235164621,103.634042447668,95.3503302919695,109.50001237561,150.88412696918,A1S_3452,(),LysR family transcriptional regulator,WP_001209842.1,34294,35184,NZ_CP012004.1,Shared
29,30,gene-ACX60_RS00150_ACX60_RS00150,0.616315130029659,0.383684869970341,1.4395850460089956,1.4400333283333289,738.918213663252,830.179541949679,652.284855405912,406.43078286952,379.129075106952,757.022085310888,A1S_3451,(),NCS2 family nucleobase:cation symporter,WP_000073451.1,35264,36559,NZ_CP012004.1,Shared
30,31,gene-ACX60_RS00155_ppc,0.137363649667403,0.862636350332597,-1.68883129229115,-1.68894208413046,3485.03619942164,2810.69755234084,3484.94868230885,6711.471373426,6035.45229502558,3772.10317422951,A1S_3449,ppc,phosphoenolpyruvate carboxylase,WP_000250585.1,36860,39544,NZ_CP012004.1,Shared
31,32,gene-ACX60_RS00160_ACX60_RS00160,0.967501413636774,0.0324985863632262,-1.12898917812837,-1.12981353359634,81.0473534749219,87.8575658744952,77.2175218237529,72.7046268476267,88.3064615932342,117.065270924364,A1S_3448,(),TetR/AcrR family transcriptional regulator,WP_001195317.1,39715,40338,NZ_CP012004.1,Shared
32,33,gene-ACX60_RS00165_ACX60_RS00165,0.946347218419514,0.0536527815804856,-1.08472203070817,-1.08494287806742,164.285175962679,216.665692114221,222.508385255288,227.648913572077,256.677448364334,170.395005456574,A1S_3447,(),efflux RND transporter periplasmic adaptor subunit,WP_001050652.1,40488,41588,NZ_CP012004.1,Shared
33,34,gene-ACX60_RS00170_ACX60_RS00170,0.426021713510163,0.573978286489837,1.2400533853578353,1.240316681609519,546.88709687132,580.753401543273,651.268835381916,462.449101916052,545.145222902233,426.637876257683,A1S_3446,(),efflux RND transporter permease subunit,WP_000671288.1,41591,44716,NZ_CP012004.1,Shared
34,35,gene-ACX60_RS00175_ACX60_RS00175,7.88634782855624e-06,0.999992113652171,-1.84617299315033,-1.84988736844574,119.745639368353,136.998238312772,101.602002399675,222.881397057479,182.500020626017,257.543596033601,A1S_3444,(),hypothetical protein,WP_000529425.1,44856,45233,NZ_CP012004.1,Shared
35,36,gene-ACX60_RS00180_dnaJ,0.977176983209299,0.0228230167907007,-1.03440637985989,-1.03441770405755,1721.70864408888,1095.98590650218,1961.93466633772,1363.50972317516,1604.82276202104,1975.80162815677,A1S_3443,dnaJ,molecular chaperone DnaJ,WP_001119029.1,45338,46450,NZ_CP012004.1,Shared
36,37,gene-ACX60_RS00185_ACX60_RS00185,0.943535894419003,0.0564641055809974,-1.03234851244329,-1.03428547252938,8.031719713731,14.1465572170797,4.06408009598699,10.7269121578466,4.70967795163916,11.7065270924364,A1S_3913,(),hypothetical protein,WP_000555686.1,46565,46912,NZ_CP012004.1,Shared
37,38,gene-ACX60_RS00190_dapB,0.923496881143321,0.0765031188566789,-1.16522530760518,-1.16534113365939,656.410547513106,873.363769243923,714.262076869714,803.326532709843,808.887188194025,1002.85915425205,A1S_3442,dapB,4-hydroxy-tetrahydrodipicolinate reductase,WP_001271389.1,47097,47918,NZ_CP012004.1,Shared
38,39,gene-ACX60_RS00195_ACX60_RS00195,0.919500737504313,0.0804992624956868,1.1358705002443683,1.136136545962146,272.348313929242,333.56092806588,306.838047247018,272.940320460763,226.06454167868,304.369704403347,A1S_3441,(),START domain-containing protein,WP_001036017.1,47970,48623,NZ_CP012004.1,Shared
39,40,gene-ACX60_RS00200_ACX60_RS00200,0.88590267523173,0.11409732476827,1.2947398855069507,1.2957443229705294,148.951892872829,278.463810483569,170.691364031454,147.793011952553,146.000016500814,167.793554991589,A1S_3440,(),MFS transporter,WP_001097137.1,48664,49854,NZ_CP012004.1,Shared
40,41,gene-ACX60_RS00205_dkgB,0.850858869009843,0.149141130990157,1.428665007050165,1.431450035434515,78.1267281244743,174.970576105986,93.4738422077008,84.6234181341229,61.2258133713091,96.2536672044772,A1S_3439,dkgB,"2,5-didehydrogluconate reductase DkgB",WP_001025237.1,49859,50662,NZ_CP012004.1,Shared
41,42,gene-ACX60_RS00210_ACX60_RS00210,0.649981224613122,0.350018775386878,-1.40819498054069,-1.41063387190637,76.6664154492504,112.427902093634,74.1694617517626,113.228517221714,105.967753911881,152.184852201673,A1S_3438,(),LysR family transcriptional regulator,WP_000843076.1,50783,51685,NZ_CP012004.1,Shared
42,43,gene-ACX60_RS00215_ACX60_RS00215,1.0,1.60168701657498e-16,-1.55529264100009,-1.58640861906077,9.49203238895482,10.4237790020588,8.12816019197399,16.6863078010947,20.0161312944664,7.80435139495761,A1S_3912,(),hypothetical protein,WP_000770096.1,51669,52043,NZ_CP012004.1,Shared
43,44,gene-ACX60_RS00220_ACX60_RS00220,1.0,7.18621965861917e-18,-1.00976476789859,-1.00980698320455,112.444075992234,132.530904454747,118.87434280762,127.531066765509,118.919368278889,120.967446621843,A1S_3437,(),PLP-dependent aminotransferase family protein,WP_000143932.1,52134,53558,NZ_CP012004.1,Shared
44,45,gene-ACX60_RS00225_ACX60_RS00225,0.0,1.0,2.6562661554121574,2.657320402550431,2099.92962697185,2034.12601668746,2433.36795747221,912.979412545608,1004.33882318705,554.10894904199,A1S_3436,(),NAD(P)-dependent alcohol dehydrogenase,WP_000069827.1,53561,54589,NZ_CP012004.1,Shared
45,46,gene-ACX60_RS00230_ACX60_RS00230,0.878986053999422,0.121013946000578,-1.19090967138535,-1.19146411021652,149.682049210441,215.176580828213,176.787484175434,227.648913572077,234.306478094048,183.402257781504,A1S_3435,(),DNA-3-methyladenine glycosylase I,WP_000857022.1,54628,55188,NZ_CP012004.1,Shared
46,47,gene-ACX60_RS00235_ACX60_RS00235,0.877919424244315,0.122080575755685,-1.3563336191951,-1.36591420527097,10.9523450641786,31.2713370061763,16.256320383948,22.6457034443428,24.7258092461056,32.5181308123234,A1S_3434,(),hypothetical protein,WP_001287365.1,55219,55464,NZ_CP012004.1,Shared
47,48,gene-ACX60_RS00240_ACX60_RS00240,0.999999999999998,1.5648850013070701e-15,-1.26960384905404,-1.27086663757164,105.142512616115,116.895235951659,113.794242687636,140.641737180655,136.580660597536,149.583401736688,A1S_3433,(),M23 family metallopeptidase,WP_009517919.1,55474,56010,NZ_CP012004.1,Shared
48,49,gene-ACX60_RS00245_mutY,,,-1.78149620675848,-1.78550412339168,102.221887265667,96.7922335905455,107.698122543655,139.449858052005,188.387118065566,219.822564291306,A1S_3432,mutY,A/G-specific adenine glycosylase,WP_001113875.1,56058,57092,NZ_CP012004.1,Shared
49,50,gene-ACX60_RS00250_ACX60_RS00250,0.9764215471111,0.0235784528889003,-1.01182931292546,-1.01183380968147,1455.93173719815,1133.95824429539,1548.41451657104,1585.19924110399,1670.75825334399,931.319266464941,A1S_3431,(),HIT family protein,WP_000130110.1,57233,57595,NZ_CP012004.1,Shared
50,51,gene-ACX60_RS00255_ACX60_RS00255,0.860981737904124,0.139018262095876,1.4677112442462161,1.467879363145441,2464.27763944019,1498.04595372444,2461.81651814412,1578.0479663321,1658.98405846489,1139.43530366381,A1S_3430,(),dienelactone hydrolase family protein,WP_000100767.1,57781,58518,NZ_CP012004.1,Shared
51,52,gene-ACX60_RS00260_ACX60_RS00260,0.0020596208764165,0.997940379123583,5.225411245869654,5.23220028941987,1470.53486395038,1227.02769967092,2425.23979728024,359.947496852185,584.000066003256,35.1195812773092,A1S_3910,(),DUF1328 domain-containing protein,WP_000490267.1,58690,58848,NZ_CP012004.1,Shared
52,53,gene-ACX60_RS00265_ACX60_RS00265,0.248076024900455,0.751923975099545,-1.42205716893021,-1.42455582158188,98.5711055776077,65.5208965843693,101.602002399675,107.269121578466,142.467758037085,128.771798016801,A1S_3429,(),YcgN family cysteine cluster protein,WP_000102817.1,59043,59501,NZ_CP012004.1,Shared
53,54,gene-ACX60_RS00270_ACX60_RS00270,0.0210715871665397,0.97892841283346,2.665257206515934,2.6698159604673006,589.23616445281,334.305483708884,610.628034422046,212.154484899632,240.193575533597,122.268171854336,A1S_3428,(),PQQ-dependent sugar dehydrogenase,WP_000986272.1,59611,60783,NZ_CP012004.1,Shared
54,55,gene-ACX60_RS00275_ACX60_RS00275,0.967400954203028,0.0325990457969715,1.0333468482758759,1.0333791867191933,611.140854581168,428.119494727413,637.044555045961,533.961849635029,476.854892603465,611.340859271679,A1S_3427,(),replication-associated recombination protein A,WP_001285406.1,60889,62154,NZ_CP012004.1,Shared
55,56,gene-ACX60_RS00280_ACX60_RS00280,0.61959548265573,0.38040451734427,1.3495030268547918,1.3505932781406225,238.030966061482,203.263690540146,239.780725663233,210.962605770982,180.145181650198,113.163095226885,A1S_3426,(),formate/nitrite transporter family protein,WP_000349490.1,62170,63009,NZ_CP012004.1,Shared
56,57,gene-ACX60_RS00285_ACX60_RS00285,0.691510770874559,0.308489229125441,1.5362574064002796,1.53959688964977,124.126577394025,104.237790020588,160.531163791486,103.693484192517,105.967753911881,42.9239326722669,A1S_3909,(),hypothetical protein,WP_000418560.1,63295,63498,NZ_CP012004.1,Shared
57,58,gene-ACX60_RS00290_ACX60_RS00290,0.970525641284169,0.0294743587158311,-1.22143549586921,-1.22150535795085,1589.55034698113,1708.01064505163,1688.6252798826,1443.36562479469,1504.74210554871,3142.55216170293,A1S_3425,(),phosphoribosylaminoimidazolesuccinocarboxamide synthase,WP_000917863.1,63691,64410,NZ_CP012004.1,Shared
58,59,gene-ACX60_RS00295_ACX60_RS00295,0.933824883997565,0.0661751160024347,-1.10329143924402,-1.10333231855584,1209.86905142293,1434.01416842608,1330.98623143574,1389.73106400546,1388.17757624564,1607.69638736127,A1S_3424,(),hypothetical protein,WP_001177091.1,64447,65049,NZ_CP012004.1,Shared
59,60,gene-ACX60_RS00300_dapA,0.976600427603442,0.0233995723965576,-1.11809044011625,-1.11811968039599,1663.29613707993,2761.55687990257,1928.40600554583,2394.48516945708,2118.17765874971,2591.04466312593,A1S_3423,dapA,4-hydroxy-tetrahydrodipicolinate synthase,WP_000193600.1,65065,65958,NZ_CP012004.1,Shared
60,61,gene-ACX60_RS00305_pncA,0.962130031187197,0.0378699688128029,-1.00523225020105,-1.00524645190704,150.412205548053,233.045916260314,196.091864631372,193.084418841238,193.096796017205,196.409510106433,A1S_3422,pncA,bifunctional nicotinamidase/pyrazinamidase,WP_001985076.1,66288,66932,NZ_CP012004.1,Shared
61,62,gene-ACX60_RS00310_ACX60_RS00310,0.954071593944637,0.0459284060553634,-1.14341282493262,-1.14382201348354,163.555019625068,209.964691327183,177.803504199431,214.538243156931,200.161312944664,215.920388593827,A1S_3421,(),bile acid:sodium symporter family protein,WP_001275071.1,66987,67925,NZ_CP012004.1,Shared
62,63,gene-ACX60_RS00315_ACX60_RS00315,0.948566250290565,0.0514337497094351,-1.1191419139392,-1.12016732351512,46.7300056071622,81.1565650874574,54.8650812958244,71.5127477189771,69.4677497866776,63.7355363921538,A1S_3420,(),MATE family efflux transporter,WP_001071757.1,68104,69447,NZ_CP012004.1,Shared
63,64,gene-ACX60_RS00320_ACX60_RS00320,0.915114086557968,0.0848859134420325,-1.10383712638032,-1.1048727667361,29.9364098420883,75.944675586428,51.8170212238342,47.6751651459847,45.9193600284818,80.644964414562,A1S_3419,(),DUF523 domain-containing protein,WP_000924626.1,69468,69938,NZ_CP012004.1,Shared
64,65,gene-ACX60_RS00325_hppD,0.154564609832204,0.845435390167796,-2.31529809307015,-2.31544089339513,5474.71221941409,5303.46984511889,3711.52114766012,15487.2773976731,11231.4044951715,6831.40892105289,A1S_3418,hppD,4-hydroxyphenylpyruvate dioxygenase,WP_000353163.1,70460,71515,NZ_CP012004.1,Shared
65,66,gene-ACX60_RS00330_ACX60_RS00330,,,-1.69931402426012,-1.70034858412115,389.173327947147,291.121256414641,383.039549046774,641.230971213495,669.95168862067,496.877038812301,A1S_3417,(),IclR family transcriptional regulator,WP_000568800.1,71582,72361,NZ_CP012004.1,Shared
66,67,gene-ACX60_RS00335_ACX60_RS00335,0.977200835650595,0.0227991643494053,-1.21251686923097,-1.21256104055793,2723.48313929242,2675.93298095708,2169.20275123306,4351.55069869976,3674.72622176645,1151.14183075625,A1S_3416,(),VOC family protein,WP_000141645.1,72660,73208,NZ_CP012004.1,Shared
67,68,gene-ACX60_RS00340_maiA,0.958269226431594,0.0417307735684057,-1.34956965073507,-1.34966832326686,1959.73961015036,2158.46680906917,1454.94067436334,3322.95901067514,2978.87130441177,1220.08026807837,A1S_3415,maiA,maleylacetoacetate isomerase,WP_000781240.1,73226,73858,NZ_CP012004.1,Shared
68,69,gene-ACX60_RS00345_fahA,0.930085501695865,0.0699144983041352,-1.5904903982718,-1.59052966453461,6970.07239884328,11222.6872070023,5464.15568905451,15676.7861791284,13669.8402546327,8280.41683005002,A1S_3414,fahA,fumarylacetoacetase,WP_000435855.1,73845,75152,NZ_CP012004.1,Shared
69,70,gene-ACX60_RS00350_ACX60_RS00350,0.115170231486985,0.884829768513015,-2.84865991239961,-2.84903205360356,3280.59242489031,2453.31084369883,2080.80900914534,10991.5093244068,7046.85563514009,4226.05628036955,A1S_3413,(),amino acid permease,WP_000107088.1,75511,76899,NZ_CP012004.1,Shared
70,71,gene-ACX60_RS00355_ACX60_RS00355,0.999999999999999,7.02734142776043e-16,-1.45956951172799,-1.46756162525593,28.4760971668644,33.5050039351888,28.448560671909,46.4832860173351,45.9193600284818,40.322482207281,A1S_3412,(),D-Ala-D-Ala carboxypeptidase family metallohydrolase,WP_000833243.1,77063,77746,NZ_CP012004.1,Shared
71,72,gene-ACX60_RS00360_zigA,0.957629997155721,0.0423700028442789,-1.15748324010387,-1.15948922116025,45.2696929319384,44.6733385802518,33.5286607918927,64.3614729470794,42.3871015647524,36.4203065098022,A1S_3411,zigA,zinc metallochaperone GTPase ZigA,WP_125519493.1,77889,79154,NZ_CP012004.1,Shared
72,73,gene-ACX60_RS00365_ACX60_RS00365,0.935180919308702,0.0648190806912977,1.153108196150829,1.15329988263671,425.681144827743,615.002961121466,408.440049646693,376.633804653279,416.806498720066,463.058182767485,A1S_3410,(),acyltransferase,WP_025467426.1,79188,80300,NZ_CP012004.1,Shared
73,74,gene-ACX60_RS00370_hutC,0.278269443045104,0.721730556954896,-2.48738094855747,-2.50074734093034,40.158598568655,87.113010231491,47.7529411278472,120.379791993611,87.1290421053244,230.228366151249,A1S_3409,hutC,histidine utilization repressor,WP_001138322.1,80653,81405,NZ_CP012004.1,Shared
74,75,gene-ACX60_RS00375_ACX60_RS00375,0.0001047901360713,0.999895209863929,-3.52647312534211,-3.59564155440785,19.7142211155215,16.3802241460923,21.3364205039317,47.6751651459847,60.0483938833993,98.8551176694631,A1S_3408,(),HutD family protein,WP_000571159.1,81402,81977,NZ_CP012004.1,Shared
75,76,gene-ACX60_RS00380_hutU,0.0,1.0,-11.2450067822193,-11.2465979168917,3072.49786867091,4070.48570030394,2986.08285052644,49144.7521116097,25229.744786931,39543.3477930177,A1S_3406,hutU,urocanate hydratase,WP_000214181.1,82229,83905,NZ_CP012004.1,Shared
76,77,gene-ACX60_RS00385_hutH,0.0,1.0,-15.5297443031919,-15.5337764535352,2016.69180448409,1865.85644136852,1786.16320218628,35467.9391103553,20350.5184290328,32238.4748873374,A1S_3405,hutH,histidine ammonia-lyase,WP_000421600.1,83993,85531,NZ_CP012004.1,Shared
77,78,gene-ACX60_RS00390_ACX60_RS00390,0.0,1.0,-18.764574506034,-18.7755658040027,922.917610741453,754.979422006255,864.633040421233,19860.2819206886,12203.952992185,15673.7390515399,A1S_3404,(),amino acid permease,WP_000081464.1,85596,87008,NZ_CP012004.1,Shared
78,79,gene-ACX60_RS00395_hutI,0.0,1.0,-17.75245780927,-17.765249228498,660.061329201166,710.306083426004,689.877596293792,12952.1504910354,10340.0979428238,13309.0205788677,A1S_3403,hutI,imidazolonepropionase,WP_000737795.1,87060,88265,NZ_CP012004.1,Shared
79,80,gene-ACX60_RS00400_hutG,0.0,1.0,-25.528632837019,-25.5774707957938,223.427839309244,326.859927278842,239.780725663233,6336.02944790137,5460.8715849256,8411.79007853181,A1S_3402,hutG,formimidoylglutamase,WP_001016890.1,88276,89196,NZ_CP012004.1,Shared
80,81,gene-ACX60_RS00405_ACX60_RS00405,1.09012860810553e-05,0.999989098713919,-2.53835021908978,-2.54648600566383,105.142512616115,119.128902880671,73.1534417277659,296.777903033755,283.758096586259,176.898631619039,A1S_3399,(),DUF885 domain-containing protein,WP_009517991.1,89450,91276,NZ_CP012004.1,Shared
81,82,gene-ACX60_RS00410_ACX60_RS00410,0.98795541394231,0.0120445860576897,-1.11681950206328,-1.11756566552323,94.9203238895482,67.0100078703777,84.3296619917301,96.5422094206191,82.4193641536853,96.2536672044772,A1S_3399,(),HAD family hydrolase,WP_009517953.1,91375,92013,NZ_CP012004.1,Shared
82,83,gene-ACX60_RS00415_murI,1.0,2.38279561465253e-16,-1.19426298334291,-1.19502022764398,146.031267522382,121.362569809684,136.146683215564,169.246836268246,166.01614779528,146.981951271702,A1S_3398,murI,glutamate racemase,WP_001063725.1,92037,92837,NZ_CP012004.1,Shared
83,84,gene-ACX60_RS00420_ACX60_RS00420,0.918959860287698,0.0810401397123023,1.1966639912583132,1.1977719101923952,117.555170355517,99.0259005195581,117.858322783623,122.763550250911,108.322592887701,48.1268336022386,A1S_3397,(),LysE family translocator,WP_000624236.1,92824,93447,NZ_CP012004.1,Shared
84,85,gene-ACX60_RS00425_ACX60_RS00425,0.156734478914584,0.843265521085416,-3.25110014654502,-3.25172511591185,2821.32408853242,796.67453801449,2048.29636837744,7544.59488435209,8307.87190669147,2572.83450987103,A1S_3908,(),hypothetical protein,WP_001273438.1,93679,94893,NZ_CP012004.1,Shared
85,86,gene-ACX60_RS00430_ACX60_RS00430,1.0,4.80833583808963e-17,-1.25720241507728,-1.28060090239778,3.65078168805954,4.46733385802518,9.14418021597074,4.76751651459847,8.24193641536853,9.10507662745054,A1S_3486,(),hypothetical protein,ACX60_RS00430,95895,96189,NZ_CP012004.1,Shared
86,87,gene-ACX60_RS00440_glmS,0.980051717916544,0.0199482820834556,-1.16436301418266,-1.16437911111117,6628.35923284091,3581.31264285019,5853.29135824527,5668.57713585759,6220.30715462742,6814.49949303049,A1S_3396,glmS,glutamine--fructose-6-phosphate transaminase (isomerizing),WP_009517977.1,96418,98256,NZ_CP012004.1,Shared
87,88,gene-ACX60_RS00445_glmU,0.535275130494767,0.464724869505233,-1.34711659680607,-1.34723136454352,1676.43895115694,1574.73518495388,1506.75769558718,1903.43096845344,1854.43569345792,2652.17874905309,A1S_3394,glmU,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU,WP_000108581.1,98269,99633,NZ_CP012004.1,Shared
88,89,gene-ACX60_RS00450_ACX60_RS00450,0.983021494129486,0.0169785058705136,1.0522714779238007,1.0523487373480256,384.792389921476,329.838149850859,405.391989574703,369.482529881382,357.935524324576,336.88783521567,A1S_3392,(),phosphatidylglycerophosphatase A,WP_000380676.1,99650,100165,NZ_CP012004.1,Shared
