,Number,Locus,PPEE,PPDE,PostFC,RealFC,D1,D2,D3,L1,L2,L3,New Locus,Gene,Product,ProteinID,Start,End,Chrom,Relation
27,29,gene-ACX60_RS00145_ACX60_RS00145,0.960664235556059,0.0393357644439412,-1.09851029093667,-1.09898130024668,119.945370616347,92.2704983575952,115.527468375706,94.408327844989,142.831120746173,122.947319875546,A1S_3452,(),LysR family transcriptional regulator,WP_001209842.1,34294,35184,NZ_CP012004.1,Shared
28,30,gene-ACX60_RS00150_ACX60_RS00150,0.145516929259744,0.854483070740256,1.360084314791384,1.3604153538596306,912.334475250587,686.90259888432,719.824995264015,605.323984417871,489.129215385479,610.210931161455,A1S_3451,(),NCS2 family nucleobase:cation symporter,WP_000073451.1,35264,36559,NZ_CP012004.1,Shared
29,31,gene-ACX60_RS00155_ppc,0.921369266809125,0.0786307331908746,-1.34519056438778,-1.34521866807325,3964.19449887026,5124.08834212512,10161.0851800602,9397.79369386368,8725.49926784758,7771.326605385,A1S_3449,ppc,phosphoenolpyruvate carboxylase,WP_000250585.1,36860,39544,NZ_CP012004.1,Shared
30,32,gene-ACX60_RS00160_ACX60_RS00160,1.0,2.5027432406968302e-17,-1.10979568493162,-1.11035441099967,90.7086865286122,96.3714093957105,120.859505377662,116.62205204381,109.144535664528,116.15881755113,A1S_3448,(),TetR/AcrR family transcriptional regulator,WP_001195317.1,39715,40338,NZ_CP012004.1,Shared
31,33,gene-ACX60_RS00165_ACX60_RS00165,0.964160551759941,0.0358394482400588,-1.1604271301112,-1.16089096202478,193.411910118859,161.985986005556,186.621295068448,205.476948839094,228.39504685355,195.358011335991,A1S_3447,(),efflux RND transporter periplasmic adaptor subunit,WP_001050652.1,40488,41588,NZ_CP012004.1,Shared
32,34,gene-ACX60_RS00170_ACX60_RS00170,0.979163335820554,0.0208366641794463,1.0211174224315391,1.0211370858197268,548.000412003434,635.641210907878,534.981045862885,655.304863865218,501.256386014871,526.486069160316,A1S_3446,(),efflux RND transporter permease subunit,WP_000671288.1,41591,44716,NZ_CP012004.1,Shared
33,35,gene-ACX60_RS00175_ACX60_RS00175,0.944101662082385,0.0558983379176145,-1.16578013866752,-1.16650107076419,141.68546904056,113.800281307701,104.863394371795,84.6898235080048,157.653218182097,178.009616506926,A1S_3444,(),hypothetical protein,WP_000529425.1,44856,45233,NZ_CP012004.1,Shared
34,36,gene-ACX60_RS00180_dnaJ,0.979282655385454,0.0207173446145459,-1.08889218772409,-1.08892258170777,1139.48102085529,1871.04066114012,1572.95091557692,1734.05884527046,1596.07040116832,1660.92023537395,A1S_3443,dnaJ,molecular chaperone DnaJ,WP_001119029.1,45338,46450,NZ_CP012004.1,Shared
35,37,gene-ACX60_RS00185_ACX60_RS00185,1.0,1.70030276327975e-17,1.0311645113004755,1.032419955240464,19.4911227251563,8.20182207623068,12.4414196712299,12.4952198618368,12.8009023310249,13.5770046488334,A1S_3913,(),hypothetical protein,WP_000555686.1,46565,46912,NZ_CP012004.1,Shared
36,38,gene-ACX60_RS00190_dapB,0.0758427934693651,0.924157206530635,-1.19824406653028,-1.19835235936975,937.822866506561,827.35880193977,1103.73165940482,1171.7739514878,1145.34389277592,1120.8571615648,A1S_3442,dapB,4-hydroxy-tetrahydrodipicolinate reductase,WP_001271389.1,47097,47918,NZ_CP012004.1,Shared
37,39,gene-ACX60_RS00195_ACX60_RS00195,0.943845451146837,0.056154548853163,1.1381483693361165,1.1383910950714908,418.309480024509,286.038544908545,311.035491780747,308.215423258641,328.781070396851,254.945976183649,A1S_3441,(),START domain-containing protein,WP_001036017.1,47970,48623,NZ_CP012004.1,Shared
38,40,gene-ACX60_RS00200_ACX60_RS00200,0.901890828150742,0.0981091718492583,1.4079933547545909,1.4091901104245546,404.81562583017,184.54099671519,163.515801393307,191.593371214831,200.098315384969,142.55854881275,A1S_3440,(),MFS transporter,WP_001097137.1,48664,49854,NZ_CP012004.1,Shared
39,41,gene-ACX60_RS00205_dkgB,0.889543540463046,0.110456459536954,1.591017163546268,1.5941847297760063,290.117865178289,87.144359559951,88.8672833659277,104.126832181973,90.9537797204404,97.3018666499724,A1S_3439,dkgB,"2,5-didehydrogluconate reductase DkgB",WP_001025237.1,49859,50662,NZ_CP012004.1,Shared
40,42,gene-ACX60_RS00210_ACX60_RS00210,0.96952126452546,0.0304787354745396,-1.05951919087559,-1.05984731011917,103.452882156599,83.0434485218357,97.7540117025205,91.6316123201364,126.661559906984,82.9705839650927,A1S_3438,(),LysR family transcriptional regulator,WP_000843076.1,50783,51685,NZ_CP012004.1,Shared
41,43,gene-ACX60_RS00215_ACX60_RS00215,0.992831594617077,0.0071684053829232,-1.2284200299471,-1.24056796898363,7.49658566352167,11.2775053548172,10.6640740039113,6.94178881213154,17.5170242424552,12.0684485767408,A1S_3912,(),hypothetical protein,WP_000770096.1,51669,52043,NZ_CP012004.1,Shared
42,44,gene-ACX60_RS00220_ACX60_RS00220,0.987789253685311,0.0122107463146888,1.037449425997507,1.0376365205934321,125.192980580812,102.522775952884,97.7540117025205,87.4665390328575,120.597974592288,105.598925046482,A1S_3437,(),PLP-dependent aminotransferase family protein,WP_000143932.1,52134,53558,NZ_CP012004.1,Shared
43,45,gene-ACX60_RS00225_ACX60_RS00225,0.211196893255279,0.788803106744721,1.7854911392872372,1.785773283266924,3313.49086327658,2714.80310723236,1763.12690198001,2246.36285960577,900.779285083176,1215.89619410663,A1S_3436,(),NAD(P)-dependent alcohol dehydrogenase,WP_000069827.1,53561,54589,NZ_CP012004.1,Shared
44,46,gene-ACX60_RS00230_ACX60_RS00230,0.963787949027894,0.0362120509721059,1.060760301676761,1.0609090384091249,293.86615801005,204.020324146238,181.289258066493,204.088591076667,232.437437063348,203.6550697325,A1S_3435,(),DNA-3-methyladenine glycosylase I,WP_000857022.1,54628,55188,NZ_CP012004.1,Shared
45,47,gene-ACX60_RS00235_ACX60_RS00235,0.495934489790796,0.504065510209204,-1.66159331620424,-1.67742019845709,23.9890741232693,11.2775053548172,30.2148763444154,37.4856595855103,44.4662923077708,27.908287333713,A1S_3434,(),hypothetical protein,WP_001287365.1,55219,55464,NZ_CP012004.1,Shared
46,48,gene-ACX60_RS00240_ACX60_RS00240,0.726354601183448,0.273645398816552,-1.21415801815323,-1.21498674625752,105.701857855656,125.077786662518,174.179875397218,147.165922817189,187.971144755577,156.88983149763,A1S_3433,(),M23 family metallopeptidase,WP_009517919.1,55474,56010,NZ_CP012004.1,Shared
47,49,gene-ACX60_RS00245_mutY,0.982435707911344,0.0175642920886555,-1.20321167705739,-1.20411943068197,111.699126386473,100.472320433826,138.632962050847,138.835776242631,132.72514522168,150.855607209259,A1S_3432,mutY,A/G-specific adenine glycosylase,WP_001113875.1,56058,57092,NZ_CP012004.1,Shared
48,50,gene-ACX60_RS00250_ACX60_RS00250,0.905005045187636,0.094994954812364,-1.18332955610928,-1.18338844628711,1141.72999655435,1629.08690989132,2107.93196143981,1914.54535438588,1892.51234988679,1966.4028399727,A1S_3431,(),HIT family protein,WP_000130110.1,57233,57595,NZ_CP012004.1,Shared
49,51,gene-ACX60_RS00255_ACX60_RS00255,0.985449929114699,0.0145500708853013,1.0853754451947055,1.085397367227981,1745.9548010342,2260.62720976108,2618.03016796023,2730.89971869255,1443.80703659929,1928.68893817038,A1S_3430,(),dienelactone hydrolase family protein,WP_000100767.1,57781,58518,NZ_CP012004.1,Shared
50,52,gene-ACX60_RS00260_ACX60_RS00260,0.0416560140495469,0.958343985950453,2.402263068593783,2.4034040274624315,1465.58249721849,2134.52419533904,1029.08314137744,1170.38559372538,240.522217482942,515.171898619621,A1S_3910,(),DUF1328 domain-containing protein,WP_000490267.1,58690,58848,NZ_CP012004.1,Shared
51,53,gene-ACX60_RS00265_ACX60_RS00265,0.999999998153776,1.8462243148048101e-09,-1.53082931036714,-1.53347854260665,101.203906457543,109.699370269585,103.086048704476,149.942638342041,160.348144988628,171.22111418251,A1S_3429,(),YcgN family cysteine cluster protein,WP_000102817.1,59043,59501,NZ_CP012004.1,Shared
52,54,gene-ACX60_RS00270_ACX60_RS00270,0.0621401936428465,0.937859806357153,1.8308309006667898,1.8324114837875476,440.049578448722,676.650321289031,392.793392477401,366.526449280546,219.636534732323,237.597581354584,A1S_3428,(),PQQ-dependent sugar dehydrogenase,WP_000986272.1,59611,60783,NZ_CP012004.1,Shared
53,55,gene-ACX60_RS00275_ACX60_RS00275,0.984141684529906,0.0158583154700937,1.00458864186165,1.0045925457637161,518.7637279157,677.67554904856,654.063205573228,603.935626655444,640.71884825288,597.388204548668,A1S_3427,(),replication-associated recombination protein A,WP_001285406.1,60889,62154,NZ_CP012004.1,Shared
54,56,gene-ACX60_RS00280_ACX60_RS00280,0.965786094991378,0.0342139050086216,-1.13125570818051,-1.13165708721769,153.680006102194,245.029434527392,113.750122708387,201.311875551815,202.119510489867,176.501060434834,A1S_3426,(),formate/nitrite transporter family protein,WP_000349490.1,62170,63009,NZ_CP012004.1,Shared
55,57,gene-ACX60_RS00285_ACX60_RS00285,0.96930201256753,0.0306979874324704,-1.02357301377988,-1.02366438248272,94.4569793603731,171.213035841316,138.632962050847,148.554280579615,134.072608624945,131.244378272056,A1S_3909,(),hypothetical protein,WP_000418560.1,63295,63498,NZ_CP012004.1,Shared
56,58,gene-ACX60_RS00290_ACX60_RS00290,0.985900034960029,0.0140999650399709,-1.05358562681649,-1.05359821859315,2302.95111583386,1917.17591031892,2449.18232956497,2437.9562308206,2172.11100606444,2416.70682749234,A1S_3425,(),phosphoribosylaminoimidazolesuccinocarboxamide synthase,WP_000917863.1,63691,64410,NZ_CP012004.1,Shared
57,59,gene-ACX60_RS00295_ACX60_RS00295,0.934312429558615,0.0656875704413854,1.106508127302641,1.1065460300188246,1709.22153128294,1615.75894901744,1548.06807623446,1414.73655991241,1622.345937532,1366.75180131589,A1S_3424,(),hypothetical protein,WP_001177091.1,64447,65049,NZ_CP012004.1,Shared
58,60,gene-ACX60_RS00300_dapA,0.98821848590264,0.0117815140973602,1.0586012502109945,1.058614264768209,3261.01476363193,2138.62510637715,2070.60770242612,1839.57403521486,2986.65263333861,2230.4001525889,A1S_3423,dapA,4-hydroxy-tetrahydrodipicolinate synthase,WP_000193600.1,65065,65958,NZ_CP012004.1,Shared
59,61,gene-ACX60_RS00305_pncA,0.976219014037601,0.0237809859623993,-1.05561884653608,-1.05574585633726,258.632205391498,194.793274310479,232.832282418731,206.86530660152,269.492680653157,248.157473859232,A1S_3422,pncA,bifunctional nicotinamidase/pyrazinamidase,WP_001985076.1,66288,66932,NZ_CP012004.1,Shared
60,62,gene-ACX60_RS00310_ACX60_RS00310,0.860794486287891,0.139205513712109,-1.18142925404993,-1.18184318777618,210.654057144959,232.726701413046,243.496356422642,299.885276684083,241.869680886208,270.031536904575,A1S_3421,(),bile acid:sodium symporter family protein,WP_001275071.1,66987,67925,NZ_CP012004.1,Shared
61,63,gene-ACX60_RS00315_ACX60_RS00315,0.951253739169364,0.0487462608306365,1.0509892911061671,1.051419795091939,97.4556136257817,46.1352491787976,51.5430243522381,47.2041639224945,72.7630237763523,65.6221891360279,A1S_3420,(),MATE family efflux transporter,WP_001071757.1,68104,69447,NZ_CP012004.1,Shared
62,64,gene-ACX60_RS00320_ACX60_RS00320,0.953649420506617,0.0463505794933825,-1.02577042458055,-1.0260092686164,83.9617594314427,31.7820605453939,53.3203700195566,47.2041639224945,60.6358531469602,65.6221891360279,A1S_3419,(),DUF523 domain-containing protein,WP_000924626.1,69468,69938,NZ_CP012004.1,Shared
63,65,gene-ACX60_RS00325_hppD,0.19108553900006,0.80891446099994,-2.46996691563042,-2.47011087177787,1464.83283865213,608.985289160128,13929.0579947755,10698.6849172571,16401.9982762527,12428.2391999348,A1S_3418,hppD,4-hydroxyphenylpyruvate dioxygenase,WP_000353163.1,70460,71515,NZ_CP012004.1,Shared
64,66,gene-ACX60_RS00330_ACX60_RS00330,0.530304023954002,0.469695976045998,-1.38063270847865,-1.38121531586257,242.13971693175,264.50876195844,517.207589189699,398.458677816351,545.048946621009,470.66949449289,A1S_3417,(),IclR family transcriptional regulator,WP_000568800.1,71582,72361,NZ_CP012004.1,Shared
65,67,gene-ACX60_RS00335_ACX60_RS00335,0.383559752583213,0.616440247416787,-2.13584071176266,-2.13611504029156,628.213878603116,318.845833213468,5541.76379069925,4259.48161512392,5272.62429697901,4328.8016488697,A1S_3416,(),VOC family protein,WP_000141645.1,72660,73208,NZ_CP012004.1,Shared
66,68,gene-ACX60_RS00340_maiA,0.406356894466479,0.593643105533521,-2.14057894471616,-2.14098612513429,432.5529927852,160.960758246027,3796.41034539243,2812.8128266757,3731.79989534459,2854.18808839919,A1S_3415,maiA,maleylacetoacetate isomerase,WP_000781240.1,73226,73858,NZ_CP012004.1,Shared
67,69,gene-ACX60_RS00345_fahA,0.0875655427502492,0.912434457249751,-2.58228742717576,-2.58242567137105,2200.24789224361,571.051862057561,15166.0905792292,12296.6847018098,19130.611667866,14894.7283778062,A1S_3414,fahA,fumarylacetoacetase,WP_000435855.1,73845,75152,NZ_CP012004.1,Shared
68,70,gene-ACX60_RS00350_ACX60_RS00350,,,-3.40655816944806,-3.40702553804805,545.751436304378,290.13945594666,7233.79686598652,5657.55788188721,12506.4815774114,9329.66502785665,A1S_3413,(),amino acid permease,WP_000107088.1,75511,76899,NZ_CP012004.1,Shared
69,71,gene-ACX60_RS00355_ACX60_RS00355,1.0,1.28383845974769e-17,-1.11174698256426,-1.11388187430821,30.7360012204389,24.6054662286921,26.6601850097783,29.1555130109525,35.0340484849104,27.1540092976667,A1S_3412,(),D-Ala-D-Ala carboxypeptidase family metallohydrolase,WP_000833243.1,77063,77746,NZ_CP012004.1,Shared
70,72,gene-ACX60_RS00360_zigA,0.988088559243911,0.0119114407560885,1.0812022074064354,1.0825624923597628,40.481562583017,35.8829715835092,24.8828393424598,23.6020819612473,39.7501703963406,30.1711214418519,A1S_3411,zigA,zinc metallochaperone GTPase ZigA,WP_125519493.1,77889,79154,NZ_CP012004.1,Shared
71,73,gene-ACX60_RS00365_ACX60_RS00365,0.842506139206003,0.157493860793997,1.2639101323266853,1.2642739192061792,575.737778958464,363.955854632737,497.656786849195,419.284044252745,319.348826573991,398.258803032445,A1S_3410,(),acyltransferase,WP_025467426.1,79188,80300,NZ_CP012004.1,Shared
72,74,gene-ACX60_RS00370_hutC,0.947712086651607,0.0522879133483927,-1.20836908783536,-1.21004573194782,116.197077784586,35.8829715835092,42.6562960156453,62.4760993091839,90.9537797204404,82.2163059290464,A1S_3409,hutC,histidine utilization repressor,WP_001138322.1,80653,81405,NZ_CP012004.1,Shared
73,75,gene-ACX60_RS00375_ACX60_RS00375,0.925455500546749,0.0745444994532512,-1.41000093393438,-1.41867340764359,34.4842940521997,23.5802384691632,15.996111005867,26.3787974860999,35.7077801865433,42.993848054639,A1S_3408,(),HutD family protein,WP_000571159.1,81402,81977,NZ_CP012004.1,Shared
74,76,gene-ACX60_RS00380_hutU,0.975547310407415,0.0244526895925852,-2.13964161897315,-2.13975304404298,8168.27973897321,3932.77368555261,3927.93392477401,2343.54790297561,19088.8403023647,12865.7204608417,A1S_3406,hutU,urocanate hydratase,WP_000214181.1,82229,83905,NZ_CP012004.1,Shared
75,77,gene-ACX60_RS00385_hutH,0.904623633967944,0.0953763660320558,-2.70270097871061,-2.70298954860347,3516.64833475802,2637.91102526769,3092.58146113428,1746.5540651323,13444.3161060844,9804.10591252977,A1S_3405,hutH,histidine ammonia-lyase,WP_000421600.1,83993,85531,NZ_CP012004.1,Shared
76,78,gene-ACX60_RS00390_ACX60_RS00390,0.839934472892582,0.160065527107418,-2.84351607613372,-2.84420841883682,1311.90249111629,1224.12194487743,1636.93535960039,734.441256323517,6469.17179907902,4665.20965294635,A1S_3404,(),amino acid permease,WP_000081464.1,85596,87008,NZ_CP012004.1,Shared
77,79,gene-ACX60_RS00395_hutI,0.823292994254296,0.176707005745704,-3.08891677139093,-3.08970543657917,1225.69175598579,1192.33988433204,1732.91202563559,926.034627538348,7283.03969465156,4616.18158060334,A1S_3403,hutI,imidazolonepropionase,WP_000737795.1,87060,88265,NZ_CP012004.1,Shared
78,80,gene-ACX60_RS00400_hutG,0.779331697196804,0.220668302803196,-3.2495781582422,-3.25162889995848,510.517483685826,433.671342280697,774.92271095089,273.506479197983,3233.91216783788,2082.56165752383,A1S_3402,hutG,formimidoylglutamase,WP_001016890.1,88276,89196,NZ_CP012004.1,Shared
79,81,gene-ACX60_RS00405_ACX60_RS00405,0.384488245409012,0.615511754590988,-1.5636742342556,-1.56660979768796,91.4583450949644,104.573231471941,104.863394371795,131.893987430499,207.509364102931,131.998656308102,A1S_3399,(),DUF885 domain-containing protein,WP_009517991.1,89450,91276,NZ_CP012004.1,Shared
80,82,gene-ACX60_RS00410_ACX60_RS00410,0.558623593642472,0.441376406357528,-1.3242362060201,-1.32631276633959,57.7237096091169,89.1948150790087,97.7540117025205,108.291905469252,121.945437995553,94.2847545057872,A1S_3399,(),HAD family hydrolase,WP_009517953.1,91375,92013,NZ_CP012004.1,Shared
81,83,gene-ACX60_RS00415_murI,0.909302069192908,0.0906979308070916,-1.12910531295974,-1.12952031961408,112.448784952825,167.1121248032,207.949443076271,173.544720303289,202.119510489867,174.992504362741,A1S_3398,murI,glutamate racemase,WP_001063725.1,92037,92837,NZ_CP012004.1,Shared
82,84,gene-ACX60_RS00420_ACX60_RS00420,0.999999999999945,5.5027736370329405e-14,1.4032067291734112,1.406147607892308,97.4556136257817,108.674142510057,95.9766660352019,80.5247502207259,62.6570482518589,71.6564134243983,A1S_3397,(),LysE family translocator,WP_000624236.1,92824,93447,NZ_CP012004.1,Shared
83,85,gene-ACX60_RS00425_ACX60_RS00425,0.976731093301113,0.0232689066988874,-1.19865775541361,-1.19869380852651,431.803334218848,1343.04836498277,6860.55427584962,3583.3513848223,3560.67204312983,3207.19020926886,A1S_3908,(),hypothetical protein,WP_001273438.1,93679,94893,NZ_CP012004.1,Shared
84,86,gene-ACX60_RS00430_ACX60_RS00430,0.996301044378154,0.0036989556218456,1.1133224441918668,1.1216958455349315,8.99590279622601,4.10091103811534,10.6640740039113,2.77671552485262,10.1059755244934,8.29705839650927,A1S_3486,(),hypothetical protein,ACX60_RS00430,95895,96189,NZ_CP012004.1,Shared
85,87,gene-ACX60_RS00440_glmS,0.98855072026813,0.0114492797318699,-1.1208885803762,-1.12089806274977,3567.62511726996,5971.95169925547,10440.1284498292,8995.16994276006,6205.74270374057,7194.30390780959,A1S_3396,glmS,glutamine--fructose-6-phosphate transaminase (isomerizing),WP_009517977.1,96418,98256,NZ_CP012004.1,Shared
86,88,gene-ACX60_RS00445_glmU,0.966411298868524,0.0335887011314759,-1.13903175571779,-1.13906819308644,1416.10503183924,1623.96077109368,2939.72973374489,2382.42192032355,2203.10266433956,2225.87448437262,A1S_3394,glmU,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU,WP_000108581.1,98269,99633,NZ_CP012004.1,Shared
87,89,gene-ACX60_RS00450_ACX60_RS00450,0.97568860903152,0.0243113909684797,1.1131511905600013,1.1133208823884728,270.626742453132,437.772253318813,455.00049083355,342.924367319298,361.12019207523,340.933672292926,A1S_3392,(),phosphatidylglycerophosphatase A,WP_000380676.1,99650,100165,NZ_CP012004.1,Shared
